Series ID,Year,Period,Value
CEU0000000001,1939,M01,29296
CEU0000000001,1939,M02,29394
CEU0000000001,1939,M03,29804
CEU0000000001,1939,M04,29786
CEU0000000001,1939,M05,30145
CEU0000000001,1939,M06,30520
CEU0000000001,1939,M07,30472
CEU0000000001,1939,M08,30870
CEU0000000001,1939,M09,31608
CEU0000000001,1939,M10,31975
CEU0000000001,1939,M11,31837
CEU0000000001,1939,M12,32037
CEU0000000001,1940,M01,30966
CEU0000000001,1940,M02,30995
CEU0000000001,1940,M03,31328
CEU0000000001,1940,M04,31397
CEU0000000001,1940,M05,31738
CEU0000000001,1940,M06,32016
CEU0000000001,1940,M07,32019
CEU0000000001,1940,M08,32586
CEU0000000001,1940,M09,33379
CEU0000000001,1940,M10,33806
CEU0000000001,1940,M11,34000
CEU0000000001,1940,M12,34653
CEU0000000001,1941,M01,33833
CEU0000000001,1941,M02,34119
CEU0000000001,1941,M03,34592
CEU0000000001,1941,M04,35197
CEU0000000001,1941,M05,36062
CEU0000000001,1941,M06,36736
CEU0000000001,1941,M07,37262
CEU0000000001,1941,M08,37799
CEU0000000001,1941,M09,38354
CEU0000000001,1941,M10,38407
CEU0000000001,1941,M11,38293
CEU0000000001,1941,M12,38548
CEU0000000001,1942,M01,37706
CEU0000000001,1942,M02,37833
CEU0000000001,1942,M03,38488
CEU0000000001,1942,M04,39138
CEU0000000001,1942,M05,39686
CEU0000000001,1942,M06,40172
CEU0000000001,1942,M07,40625
CEU0000000001,1942,M08,41226
CEU0000000001,1942,M09,41663
CEU0000000001,1942,M10,41832
CEU0000000001,1942,M11,41863
CEU0000000001,1942,M12,42322
CEU0000000001,1943,M01,41578
CEU0000000001,1943,M02,41810
CEU0000000001,1943,M03,42216
CEU0000000001,1943,M04,42507
CEU0000000001,1943,M05,42542
CEU0000000001,1943,M06,42974
CEU0000000001,1943,M07,42868
CEU0000000001,1943,M08,42720
CEU0000000001,1943,M09,42753
CEU0000000001,1943,M10,42827
CEU0000000001,1943,M11,42945
CEU0000000001,1943,M12,43153
CEU0000000001,1944,M01,42135
CEU0000000001,1944,M02,42075
CEU0000000001,1944,M03,42076
CEU0000000001,1944,M04,41983
CEU0000000001,1944,M05,41951
CEU0000000001,1944,M06,42135
CEU0000000001,1944,M07,42023
CEU0000000001,1944,M08,41963
CEU0000000001,1944,M09,41855
CEU0000000001,1944,M10,41758
CEU0000000001,1944,M11,41800
CEU0000000001,1944,M12,42320
CEU0000000001,1945,M01,41444
CEU0000000001,1945,M02,41516
CEU0000000001,1945,M03,41653
CEU0000000001,1945,M04,41393
CEU0000000001,1945,M05,41249
CEU0000000001,1945,M06,41276
CEU0000000001,1945,M07,40909
CEU0000000001,1945,M08,40544
CEU0000000001,1945,M09,38680
CEU0000000001,1945,M10,38659
CEU0000000001,1945,M11,39110
CEU0000000001,1945,M12,39692
CEU0000000001,1946,M01,39413
CEU0000000001,1946,M02,38865
CEU0000000001,1946,M03,40033
CEU0000000001,1946,M04,40816
CEU0000000001,1946,M05,41211
CEU0000000001,1946,M06,41763
CEU0000000001,1946,M07,42082
CEU0000000001,1946,M08,42724
CEU0000000001,1946,M09,43176
CEU0000000001,1946,M10,43275
CEU0000000001,1946,M11,43612
CEU0000000001,1946,M12,44140
CEU0000000001,1947,M01,43108
CEU0000000001,1947,M02,43100
CEU0000000001,1947,M03,43349
CEU0000000001,1947,M04,43309
CEU0000000001,1947,M05,43392
CEU0000000001,1947,M06,43764
CEU0000000001,1947,M07,43604
CEU0000000001,1947,M08,44066
CEU0000000001,1947,M09,44591
CEU0000000001,1947,M10,44741
CEU0000000001,1947,M11,44807
CEU0000000001,1947,M12,45514
CEU0000000001,1948,M01,44224
CEU0000000001,1948,M02,43956
CEU0000000001,1948,M03,44291
CEU0000000001,1948,M04,44082
CEU0000000001,1948,M05,44471
CEU0000000001,1948,M06,44951
CEU0000000001,1948,M07,44989
CEU0000000001,1948,M08,45338
CEU0000000001,1948,M09,45796
CEU0000000001,1948,M10,45693
CEU0000000001,1948,M11,45588
CEU0000000001,1948,M12,46074
CEU0000000001,1949,M01,44159
CEU0000000001,1949,M02,43821
CEU0000000001,1949,M03,43747
CEU0000000001,1949,M04,43881
CEU0000000001,1949,M05,43636
CEU0000000001,1949,M06,43668
CEU0000000001,1949,M07,43352
CEU0000000001,1949,M08,43823
CEU0000000001,1949,M09,44335
CEU0000000001,1949,M10,43447
CEU0000000001,1949,M11,43653
CEU0000000001,1949,M12,44596
